season,fish,total_qty,total_price,qty_log,price_log,qty_norm,price_norm,seasonal_index
가을,삼치,26777482.0,63279729280.0,17.103071905759364,24.87083088228351,0.9975566830471171,0.9608266330178631,0.9902106730412664
가을,고등어,27923032.6,31044622480.0,17.144962483251234,24.158691441309237,1.0,0.9333147841154628,0.9866629568230926
가을,참조기,18814339.8,150832332220.0,16.75012994552027,25.739434674187414,0.9769709302008289,0.994383117750992,0.9804533677108616
가을,꽃게,15105862.92,106321396024.0,16.530593565473897,25.3897323816734,0.9641662139314968,0.9808731840513415,0.9675076079554659
가을,방어,12682353.14,27640245020.0,16.3557221474698,24.042538700531626,0.9539666338405559,0.928827493467017,0.9489388057658482
가을,넙치,9540114.67,137612023080.0,16.07101616808891,25.647704135670654,0.9373608244280819,0.9908393220135219,0.9480565239451699
가을,정어리,13427322.0,6989867000.0,16.412802218772057,22.667727365972485,0.95729589579479,0.8757148591577135,0.9409796884673748
가을,뱀장어,6358891.96,174436514350.0,15.66536485727252,25.884826697784852,0.9137007370284933,1.0,0.9309605896227946
가을,굴(참굴),6769750.9,47581477228.0,15.727974997245006,24.585709388607025,0.9173525467092465,0.9498116280883193,0.9238443629850611
가을,전갱이,7441179.5,5805171610.0,15.822540063577463,22.48201501427773,0.9228681648638407,0.8685402949289082,0.9120025908768543
겨울,굴(참굴),13610407.5,119244950712.0,16.426345388872296,25.504445623789064,0.994987534280939,0.9815210728002437,0.9922942419848
겨울,고등어,14784599.2,23480400817.0,16.50909666998325,23.879431902373895,1.0,0.9189835358278335,0.9837967071655668
겨울,삼치,9621509.0,44365631800.0,16.079511774981192,24.51573094811056,0.9739788975987325,0.9434710675784035,0.9678773315946667
겨울,넙치,7875883.5,117984910581.0,15.879316053829154,25.49382257681146,0.9618525090292093,0.98111225213346,0.9657044576500595
겨울,참조기,7807131.89,96158679600.0,15.870548346860977,25.289265576368233,0.9613214256426713,0.9732400164657864,0.9637051438072943
겨울,방어,8275492.71,48004999967.0,15.928809140287523,24.5945710084294,0.9648504372289004,0.946505173150634,0.9611813844132472
겨울,뱀장어,5789029.0,192741047700.0,15.571475305289898,25.984613403180244,0.9432057741597618,1.0,0.9545646193278094
겨울,아귀,5816569.0,21795126500.0,15.57622129889533,23.80495222674931,0.9434932516456779,0.9161172366657506,0.9380180486496924
겨울,붉은대게,4793721.4,34540412870.0,15.382817786584388,24.265395863009832,0.9317782852742842,0.9338370937641121,0.9321900469722498
겨울,키조개,4343422.12,18637416262.0,15.284173332513953,23.648437024096257,0.925803127696475,0.9100938565898362,0.9226612734751474
봄,청어,20099737.05,22533225490.0,16.816217340606073,23.8382567454134,1.0,0.9127654127320552,0.982553082546411
봄,넙치,11951741.89,157806436239.0,16.296387674242496,25.784635031852133,0.9690875982490815,0.9872921199039538,0.972728502580056
봄,꽃게,11024514.31,208678115389.0,16.215632015519,26.064058783959574,0.9642853494979015,0.997991238515828,0.9710265273014868
봄,멸치,14129198.0,22532767560.0,16.4637540651558,23.838236422772358,0.9790402759246468,0.9127646345793557,0.9657851476555888
봄,뱀장어,7769443.0,219918012795.0,15.86570916251193,26.116520644731292,0.943476695213795,1.0,0.9547813561710361
봄,아귀,9103587.9,20715335812.0,16.02417927835329,23.754140123447442,0.9529003433881501,0.9095445923513387,0.9442291931807878
봄,고등어,8093934.6,15495612290.0,15.906625647875298,23.463822742797472,0.945909851525623,0.8984283573597324,0.936413552692445
봄,정어리,7912368.0,7859736510.0,15.883937789215366,22.78501892005209,0.9445606861217514,0.8724369999358511,0.9301359488845714
봄,굴(참굴),5785630.4,32538312989.0,15.570888056992912,24.205684093201583,0.9259447437916928,0.9268341837137024,0.9261226317760948
봄,낙지,4837954.56,90381577173.0,15.392002784496032,25.227306291253058,0.9153070796325287,0.9659520360474348,0.92543607091551
여름,고등어,37581232.8,40167467925.0,17.4420153827039,24.41632324937519,1.0,0.9280449865223428,0.9856089973044686
여름,살오징어,17116309.9,188668870912.0,16.655542420644597,25.963259309697687,0.9549092840017103,0.9868427932432895,0.9612959858500262
여름,청어,18291348.5,15116199537.0,16.721938801133426,23.43903282279638,0.9587159760055867,0.8908989563236333,0.945152572069196
여름,정어리,19197617.0,9872543650.0,16.77029676680162,23.013023372589096,0.9614884747453911,0.8747066766573601,0.9441321151277849
여름,뱀장어,10634859.08,266707331860.0,16.179647849971392,26.309417758798876,0.9276249042880494,1.0,0.9420999234304397
여름,넙치,9604800.55,131766293994.0,16.07777369285735,25.60429569030727,0.9217841711572288,0.9731988721698037,0.9320671113597438
여름,조피볼락,9122277.42,39094827051.0,16.026230157603393,24.389255994724895,0.9188290347166849,0.9270161817461048,0.9204664641225689
여름,멸치,11081795.4,10493343861.0,16.22081435610567,23.07400697519422,0.9299850963433265,0.8770246147875085,0.9193930000321628
여름,꽃게,5469572.35,54903041373.0,15.514711173184303,24.728834582360975,0.8895022067558329,0.9399232932127776,0.8995864240472219
여름,병어,4773785.02,69703529800.0,15.378650262924138,24.967516796199597,0.8817014505201122,0.948995413927376,0.895160243201565
